cpi_index,date
173.4,Jul-2022
172.6,Jun-2022
171.7,May-2022
170.1,Apr-2022
167.7,Mar-2022
166.1,Feb-2022
165.7,Jan-2022
166.2,Dec-2021
166.7,Nov-2021
165.5,Oct-2021
163.2,Sep-2021
162.9,Aug-2021
162.5,Jul-2021
161.3,Jun-2021
160.4,May-2021
157.8,Apr-2021
156.8,Mar-2021
156.6,Feb-2021
156.3,Jan-2021
157.3,Dec-2020
158.9,Nov-2020
158.4,Oct-2020
156.4,Sep-2020
154.7,Aug-2020
153.9,Jul-2020
151.8,Jun-2020
150.9,May-2020
151.4,Apr-2020
148.6,Mar-2020
149.1,Feb-2020
150.2,Jan-2020
150.4,Dec-2019
148.6,Nov-2019
147.2,Oct-2019
145.8,Sep-2019
145,Aug-2019
144.2,Jul-2019
142.9,Jun-2019
142,May-2019
141.2,Apr-2019
140.4,Mar-2019
139.9,Feb-2019
139.6,Jan-2019
140.1,Dec-2018
140.8,Nov-2018
140.7,Oct-2018
140.2,Sep-2018
140.4,Aug-2018
139.8,Jul-2018
138.5,Jun-2018
137.8,May-2018
137.1,Apr-2018
136.5,Mar-2018
136.4,Feb-2018
136.9,Jan-2018
137.2,Dec-2017
137.6,Nov-2017
136.1,Oct-2017
135.2,Sep-2017
135.4,Aug-2017
134.2,Jul-2017
132,Jun-2017
131.4,May-2017
131.1,Apr-2017
130.9,Mar-2017
130.6,Feb-2017
130.3,Jan-2017
130.4,Dec-2016
131.2,Nov-2016
131.4,Oct-2016
130.9,Sep-2016
131.1,Aug-2016
131.1,Jul-2016
130.1,Jun-2016
128.6,May-2016
127.3,Apr-2016
126,Mar-2016
126,Feb-2016
126.3,Jan-2016
126.1,Dec-2015
126.6,Nov-2015
126.1,Oct-2015
125.4,Sep-2015
124.8,Aug-2015
123.6,Jul-2015
123,Jun-2015
121.6,May-2015
120.7,Apr-2015
120.2,Mar-2015
119.7,Feb-2015
119.5,Jan-2015
119.4,Dec-2014
120.1,Nov-2014
120.1,Oct-2014
120.1,Sep-2014
120.3,Aug-2014
119.2,Jul-2014
116.7,Jun-2014
115.8,May-2014
115.1,Apr-2014
114.2,Mar-2014
113.6,Feb-2014
113.6,Jan-2014
114.5,Dec-2013
116.3,Nov-2013
114.8,Oct-2013
113.7,Sep-2013
112.4,Aug-2013
111,Jul-2013
109.3,Jun-2013
106.9,May-2013
106.1,Apr-2013
105.5,Mar-2013
105.3,Feb-2013
104.6,Jan-2013